date,stock_code,open,high,low,close,volume,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2020-01-02,002130.SZ,4.96,5.0,4.93,4.98,186399.48,92649.517,1.8752,2.033,1.08,305.6297,84.6892,2.2118,1.7786,1.5689,0.0,,125898.3062,99404.713,91685.0265,626973.5649,495035.4707
2020-01-03,002130.SZ,4.98,5.09,4.97,5.08,224948.06,113597.297,2.263,2.4535,1.32,311.7668,86.3897,2.2562,1.8144,1.6004,0.0,,125898.3062,99404.713,91685.0265,639563.3955,504975.942
2020-01-06,002130.SZ,5.1,5.26,5.05,5.2,320122.48,166068.393,3.2204,3.4915,1.66,319.1314,88.4304,2.3095,1.8572,1.6383,0.0,,125898.3062,99404.713,91685.0265,654671.1922,516904.5076
2020-01-07,002130.SZ,5.29,5.29,5.11,5.2,250526.39,129757.53,2.5203,2.7325,1.11,319.1314,88.4304,2.3095,1.8572,1.6383,0.0,,125898.3062,99404.713,91685.0265,654671.1922,516904.5076
2020-01-08,002130.SZ,5.2,5.24,5.12,5.14,237518.01,123144.234,2.3894,2.5906,1.02,315.4491,87.4101,2.2829,1.8358,1.6194,0.0,,125898.3062,99404.713,91685.0265,647117.2939,510940.2248
2020-01-09,002130.SZ,5.21,5.39,5.17,5.37,429767.94,227446.513,4.3234,4.6874,1.76,329.5645,91.3214,2.385,1.9179,1.6918,0.0,,125898.3062,99404.713,91685.0265,676073.9043,533803.3088
2020-01-10,002130.SZ,5.4,5.4,5.23,5.28,303227.8,160121.59,3.0504,3.3073,1.04,324.0411,89.7909,2.3451,1.8858,1.6635,0.0,,125898.3062,99404.713,91685.0265,664743.0567,524856.8846
2020-01-13,002130.SZ,5.29,5.29,5.16,5.28,224956.86,117463.039,2.263,2.4536,0.73,324.0411,89.7909,2.3451,1.8858,1.6635,0.0,,125898.3062,99404.713,91685.0265,664743.0567,524856.8846
2020-01-14,002130.SZ,5.29,5.4,5.24,5.24,304191.05,161891.795,3.0601,3.3178,1.05,321.5862,89.1107,2.3273,1.8715,1.6509,0.0,,125898.3062,99404.713,91685.0265,659707.1245,520880.6961
2020-01-15,002130.SZ,5.24,5.24,5.08,5.16,220836.54,113516.419,2.2216,2.4086,0.74,316.6765,87.7502,2.2918,1.8429,1.6257,0.0,,125898.3062,99404.713,91685.0265,649635.26,512928.3191
2020-01-16,002130.SZ,5.16,5.18,5.07,5.1,163168.3,83483.041,1.6415,1.7797,0.55,312.9942,86.7299,2.2651,1.8215,1.6067,0.0,,125898.3062,99404.713,91685.0265,642081.3616,506964.0363
2020-01-17,002130.SZ,5.11,5.14,5.06,5.1,123881.1,63167.482,1.2462,1.3512,0.51,312.9942,86.7299,2.2651,1.8215,1.6067,0.0,,125898.3062,99404.713,91685.0265,642081.3616,506964.0363
2020-01-20,002130.SZ,5.11,5.16,5.09,5.16,151019.91,77483.581,1.5192,1.6472,0.73,316.6765,87.7502,2.2918,1.8429,1.6257,0.0,,125898.3062,99404.713,91685.0265,649635.26,512928.3191
2020-01-21,002130.SZ,5.13,5.14,5.05,5.05,151945.34,77352.74,1.5286,1.6573,0.79,309.9256,85.8796,2.2429,1.8036,1.591,0.0,,125898.3062,99404.713,91685.0265,635786.4463,501993.8007
2020-01-22,002130.SZ,5.01,5.12,4.88,5.1,189214.89,94806.474,1.9035,2.0637,1.17,312.9942,86.7299,2.2651,1.8215,1.6067,0.0,,125898.3062,99404.713,91685.0265,642081.3616,506964.0363
2020-01-23,002130.SZ,5.06,5.13,4.88,4.96,188347.64,94234.179,1.8948,2.0543,1.21,304.4022,84.349,2.2029,1.7715,1.5626,0.0,,125898.3062,99404.713,91685.0265,624455.5988,493047.3765
2020-02-03,002130.SZ,4.46,4.46,4.46,4.46,25559.0,11399.314,0.2571,0.2788,0.16,273.7165,75.8461,1.9809,1.5929,1.4051,0.0,,125898.3062,99404.713,91685.0265,561506.4457,443345.02
2020-02-04,002130.SZ,4.02,4.37,4.02,4.3,300496.78,128140.846,3.023,3.2775,2.13,263.8971,73.1252,1.9098,1.5358,1.3547,0.0,,125898.3062,99404.713,91685.0265,541362.7167,427440.2659
2020-02-05,002130.SZ,4.34,4.62,4.3,4.49,249999.71,111884.505,2.515,2.7267,1.46,275.5577,76.3563,1.9942,1.6036,1.4146,0.0,,125898.3062,99404.713,91685.0265,565283.3948,446327.1614
2020-02-06,002130.SZ,4.48,4.59,4.41,4.54,220337.24,99306.497,2.2166,2.4032,1.16,278.6262,77.2066,2.0164,1.6215,1.4303,0.0,,125898.3062,99404.713,91685.0265,571578.3101,451297.397
2020-02-07,002130.SZ,4.5,4.6,4.46,4.57,175376.47,79332.288,1.7643,1.9128,0.89,280.4674,77.7168,2.0297,1.6322,1.4398,0.0,,125898.3062,99404.713,91685.0265,575355.2593,454279.5384
2020-02-10,002130.SZ,4.55,4.65,4.5,4.65,182489.92,84112.472,1.8358,1.9904,0.94,285.3771,79.0772,2.0653,1.6608,1.465,0.0,,125898.3062,99404.713,91685.0265,585427.1238,462231.9155
2020-02-11,002130.SZ,4.65,4.77,4.61,4.64,197211.61,92237.315,1.9839,2.151,0.87,284.7634,78.9072,2.0608,1.6572,1.4618,0.0,,125898.3062,99404.713,91685.0265,584168.1408,461237.8683
2020-02-12,002130.SZ,4.59,4.76,4.58,4.74,203000.83,95354.521,2.0422,2.2141,0.99,290.9005,80.6078,2.1052,1.6929,1.4933,0.0,,125898.3062,99404.713,91685.0265,596757.9714,471178.3396
2020-02-13,002130.SZ,4.78,4.78,4.66,4.68,172762.53,81302.189,1.738,1.8843,0.88,287.2182,79.5874,2.0786,1.6715,1.4744,0.0,,125898.3062,99404.713,91685.0265,589204.073,465214.0568
2020-02-14,002130.SZ,4.68,4.74,4.62,4.66,141812.01,66389.324,1.4266,1.5467,0.76,285.9908,79.2473,2.0697,1.6643,1.4681,0.0,,125898.3062,99404.713,91685.0265,586686.1069,463225.9626
2020-02-17,002130.SZ,4.7,4.85,4.68,4.82,224580.23,107587.838,2.2593,2.4495,1.25,295.8102,81.9682,2.1408,1.7215,1.5185,0.0,,125898.3062,99404.713,91685.0265,606829.8359,479130.7167
2020-02-18,002130.SZ,4.88,5.3,4.87,5.3,840994.41,439721.073,8.4603,9.1726,4.48,325.2685,90.131,2.3539,1.8929,1.6698,0.0,,125898.3062,99404.713,91685.0265,667261.0229,526844.9789
2020-02-19,002130.SZ,5.38,5.48,5.18,5.18,872227.31,462319.0,8.7745,9.5133,2.75,317.9039,88.0903,2.3006,1.8501,1.632,0.0,,125898.3062,99404.713,91685.0265,652153.2261,514916.4133
2020-02-20,002130.SZ,5.1,5.25,5.08,5.23,483927.46,250254.98,4.8683,5.2782,1.07,320.9725,88.9406,2.3229,1.8679,1.6477,0.0,,125898.3062,99404.713,91685.0265,658448.1414,519886.649
2020-02-21,002130.SZ,5.17,5.45,5.16,5.3,550745.44,293003.262,5.5404,6.0069,1.07,325.2685,90.131,2.3539,1.8929,1.6698,0.0,,125898.3062,99404.713,91685.0265,667261.0229,526844.9789
2020-02-24,002130.SZ,5.3,5.57,5.26,5.52,612443.73,331732.267,6.1611,6.6799,1.03,338.7702,93.8723,2.4517,1.9715,1.7391,0.0,,125898.3062,99404.713,91685.0265,694958.6502,548714.0158
2020-02-25,002130.SZ,5.31,5.86,5.11,5.76,838858.51,460727.252,8.4388,9.1494,1.25,353.4994,97.9537,2.5583,2.0572,1.8147,0.0,,125898.3062,99404.713,91685.0265,725174.2437,572571.1469
2020-02-26,002130.SZ,5.58,5.73,5.4,5.45,581853.13,324862.528,5.8534,6.3462,0.87,334.4742,92.6819,2.4206,1.9465,1.717,0.0,,125898.3062,99404.713,91685.0265,686145.7688,541755.6859
2020-02-27,002130.SZ,5.53,5.69,5.36,5.44,389498.18,214582.878,3.9183,4.2482,0.63,333.8605,32.0929,2.3775,1.9429,1.7632,0.0,,125898.3062,99404.713,91685.0265,684886.7857,540761.6387
2020-02-28,002130.SZ,5.1,5.29,4.99,5.02,446606.01,229028.331,4.4928,4.8711,0.75,308.0845,29.6151,2.1939,1.7929,1.6271,0.0,,125898.3062,99404.713,91685.0265,632009.4971,499011.6593
2020-03-02,002130.SZ,5.04,5.32,5.04,5.28,338726.44,176833.07,3.4075,3.6945,0.59,324.0411,31.149,2.3076,1.8858,1.7114,0.0,,125898.3062,99404.713,91685.0265,664743.0567,524856.8846
2020-03-03,002130.SZ,5.39,5.54,5.28,5.4,482180.19,260748.653,4.8507,5.2591,0.93,331.4056,31.8569,2.36,1.9286,1.7502,0.0,,125898.3062,99404.713,91685.0265,679850.8535,536785.4502
2020-03-04,002130.SZ,5.31,5.49,5.28,5.46,411728.76,222387.558,4.1419,4.4907,0.92,335.0879,32.2109,2.3862,1.9501,1.7697,0.0,,125898.3062,99404.713,91685.0265,687404.7519,542749.733
2020-03-05,002130.SZ,5.6,5.6,5.44,5.47,378216.98,207699.682,3.8048,4.1252,0.91,335.7016,32.2699,2.3906,1.9536,1.7729,0.0,,125898.3062,99404.713,91685.0265,688663.7349,543743.7801
2020-03-06,002130.SZ,5.41,5.6,5.34,5.5,435782.01,239276.965,4.3839,4.753,1.06,337.5428,32.4469,2.4037,1.9644,1.7827,0.0,,125898.3062,99404.713,91685.0265,692440.6841,546725.9215
2020-03-09,002130.SZ,5.4,5.46,5.2,5.22,378303.82,200660.464,3.8057,4.1261,0.92,320.3588,30.795,2.2813,1.8644,1.6919,0.0,,125898.3062,99404.713,91685.0265,657189.1584,518892.6019
2020-03-10,002130.SZ,5.1,5.34,5.0,5.31,324323.82,167526.24,3.2627,3.5374,0.78,325.8822,31.326,2.3207,1.8965,1.7211,0.0,,125898.3062,99404.713,91685.0265,668520.0059,527839.026
2020-03-11,002130.SZ,5.34,5.43,5.19,5.19,279153.09,148935.176,2.8082,3.0447,0.72,318.5176,30.6181,2.2682,1.8536,1.6822,0.0,,125898.3062,99404.713,91685.0265,653412.2092,515910.4605
2020-03-12,002130.SZ,5.11,5.22,5.05,5.12,209132.06,107292.824,2.1038,2.281,0.58,314.2216,30.2051,2.2376,1.8286,1.6595,0.0,,125898.3062,99404.713,91685.0265,644599.3277,508952.1306
2020-03-13,002130.SZ,4.9,5.11,4.85,5.08,264415.29,131435.731,2.66,2.884,0.81,311.7668,29.9691,2.2202,1.8144,1.6465,0.0,,125898.3062,99404.713,91685.0265,639563.3955,504975.942
2020-03-16,002130.SZ,5.15,5.17,4.83,4.86,231901.42,116217.751,2.3329,2.5293,0.8,298.2651,28.6712,2.124,1.7358,1.5752,0.0,,125898.3062,99404.713,91685.0265,611865.7681,483106.9052
2020-03-17,002130.SZ,4.86,4.95,4.51,4.75,223253.88,106061.744,2.2459,2.435,0.85,291.5142,28.0223,2.0759,1.6965,1.5396,0.0,,125898.3062,99404.713,91685.0265,598016.9545,472172.3868
2020-03-18,002130.SZ,4.82,4.9,4.67,4.74,243786.89,116915.04,2.4525,2.659,1.01,290.9005,27.9633,2.0716,1.6929,1.5363,0.0,,125898.3062,99404.713,91685.0265,596757.9714,471178.3396
2020-03-19,002130.SZ,4.66,4.81,4.63,4.77,162447.3,76649.928,1.6342,1.7718,0.69,292.7417,28.1403,2.0847,1.7036,1.5461,0.0,,125898.3062,99404.713,91685.0265,600534.9206,474160.481
2020-03-20,002130.SZ,4.85,4.86,4.72,4.8,138675.5,66418.841,1.3951,1.5125,0.62,294.5828,28.3173,2.0978,1.7143,1.5558,0.0,,125898.3062,99404.713,91685.0265,604311.8698,477142.6224
2020-03-23,002130.SZ,4.7,4.73,4.52,4.53,139956.89,64847.129,1.408,1.5265,0.7,278.0125,26.7244,1.9798,1.6179,1.4683,0.0,,125898.3062,99404.713,91685.0265,570319.3271,450303.3499
2020-03-24,002130.SZ,4.65,4.68,4.51,4.63,113729.1,52259.573,1.1441,1.2404,0.63,284.1497,27.3144,2.0235,1.6536,1.5007,0.0,,125898.3062,99404.713,91685.0265,582909.1577,460243.8212
2020-03-25,002130.SZ,4.73,4.79,4.7,4.77,136648.14,64865.057,1.3747,1.4904,0.86,292.7417,28.1403,2.0847,1.7036,1.5461,0.0,,125898.3062,99404.713,91685.0265,600534.9206,474160.481
2020-03-26,002130.SZ,4.76,4.78,4.65,4.66,96247.4,45383.021,0.9682,1.0498,0.7,285.9908,27.4914,2.0366,1.6643,1.5104,0.0,,125898.3062,99404.713,91685.0265,586686.1069,463225.9626
2020-03-27,002130.SZ,4.73,4.75,4.65,4.66,73086.27,34308.243,0.7352,0.7971,0.58,285.9908,27.4914,2.0366,1.6643,1.5104,0.0,,125898.3062,99404.713,91685.0265,586686.1069,463225.9626
2020-03-30,002130.SZ,4.61,4.61,4.41,4.47,140318.6,62801.607,1.4116,1.5304,1.25,274.3302,26.3705,1.9536,1.5965,1.4488,0.0,,125898.3062,99404.713,91685.0265,562765.4287,444339.0671
2020-03-31,002130.SZ,4.54,4.55,4.41,4.41,81500.2,36438.98,0.8199,0.8889,0.73,270.6479,26.0165,1.9273,1.5751,1.4294,0.0,,125898.3062,99404.713,91685.0265,555211.5303,438374.7843
2020-04-01,002130.SZ,4.4,4.49,4.38,4.39,87665.09,38900.265,0.8819,0.9562,0.83,269.4205,25.8985,1.9186,1.5679,1.4229,0.0,,125898.3062,99404.713,91685.0265,552693.5642,436386.6901
2020-04-02,002130.SZ,4.39,4.52,4.33,4.52,94912.88,42108.895,0.9548,1.0352,0.99,277.3988,26.6654,1.9754,1.6143,1.465,0.0,,125898.3062,99404.713,91685.0265,569060.344,449309.3028
2020-04-03,002130.SZ,4.51,4.54,4.42,4.47,77814.08,34848.121,0.7828,0.8487,0.81,274.3302,26.3705,1.9536,1.5965,1.4488,0.0,,125898.3062,99404.713,91685.0265,562765.4287,444339.0671
2020-04-07,002130.SZ,4.56,4.64,4.54,4.64,144062.58,66367.427,1.4493,1.5713,1.49,284.7634,27.3734,2.0279,1.6572,1.5039,0.0,,125898.3062,99404.713,91685.0265,584168.1408,461237.8683
2020-04-08,002130.SZ,4.59,4.69,4.57,4.67,104704.47,48669.469,1.0533,1.142,1.08,286.6045,27.5503,2.041,1.6679,1.5136,0.0,,125898.3062,99404.713,91685.0265,587945.09,464220.0097
2020-04-09,002130.SZ,4.69,4.79,4.69,4.72,110207.57,52226.496,1.1087,1.202,1.08,289.6731,27.8453,2.0628,1.6858,1.5298,0.0,,125898.3062,99404.713,91685.0265,594240.0053,469190.2454
2020-04-10,002130.SZ,4.73,4.76,4.64,4.64,133799.17,62750.402,1.346,1.4593,1.26,284.7634,27.3734,2.0279,1.6572,1.5039,0.0,,125898.3062,99404.713,91685.0265,584168.1408,461237.8683
2020-04-13,002130.SZ,4.63,4.68,4.57,4.65,76223.57,35209.682,0.7668,0.8314,0.67,285.3771,27.4324,2.0322,1.6608,1.5072,0.0,,125898.3062,99404.713,91685.0265,585427.1238,462231.9155
